z,a,e,Uninformed_pred,Uninformed_CI5,Uninformed_CI95,Informed_Pred,Informed_CI5,Informed_CI95,Infor+Cons_pred,Infor+Cons_CI5,Infor+Cons_CI95,JENDL,JENDL Error,GEF,GEF Error,EXP,EXP Error,ENDF,ENDF Error,JEFF,JEFF Error
53,135,9.7,0.02825,-0.00223,0.04713,0.03829,0.03487,0.0422,0.03772,0.03549,0.0398,,,,,,,,,,
53,135,9.8,0.02816,-2.59E-03,0.04688,0.03816,0.03477,0.04207,0.03759,0.03537,0.03967,,,,,,,,,,
53,135,9.9,0.02808,-3.08E-03,0.04665,0.03803,0.03468,0.04194,0.03747,0.03526,0.03954,,,,,,,,,,
53,135,10,0.02801,-3.61E-03,0.04649,0.0379,0.03457,0.0418,0.03734,0.03513,0.03941,,,,,,,,,,
53,135,10.1,0.02796,-0.00408,0.04626,0.03777,0.03446,0.04166,0.03721,0.03501,0.03928,,,,,,,,,,
53,135,10.2,0.02791,-0.0046,0.04598,0.03764,0.03436,0.04151,0.03707,0.03488,0.03915,,,,,,,,,,
53,135,10.3,0.02788,-0.00501,0.04577,0.0375,0.03425,0.04138,0.03694,0.03475,0.03902,,,,,,,,,,
53,135,10.4,0.02786,-0.00529,0.04566,0.03736,0.03413,0.04122,0.03681,0.03462,0.03889,,,,,,,,,,
53,135,10.5,0.02786,-0.00525,0.04556,0.03723,0.03403,0.04107,0.03667,0.03449,0.03875,,,,,,,,,,
53,135,10.6,0.02786,-0.00475,0.04549,0.03709,0.03391,0.04092,0.03653,0.03435,0.03861,,,,,,,,,,
53,135,10.7,0.02789,-0.00397,0.04531,0.03695,0.03379,0.04077,0.03639,0.03422,0.03848,,,,,,,,,,
53,135,10.8,0.02792,-0.00352,0.04501,0.0368,0.03368,0.04061,0.03625,0.03408,0.03834,,,,,,,,,,
53,135,10.9,0.02797,-0.00322,0.04464,0.03666,0.03356,0.04044,0.03611,0.03394,0.0382,,,,,,,,,,
53,135,11,0.02804,-0.00263,0.04425,0.03652,0.03343,0.04027,0.03597,0.0338,0.03806,,,,,,,,,,
53,135,11.1,0.02812,-0.00202,0.04373,0.03637,0.03331,0.04009,0.03583,0.03366,0.03792,,,,,,,,,,
53,135,11.2,0.02821,-0.00134,0.0433,0.03622,0.03318,0.03992,0.03568,0.03351,0.03777,,,,,,,,,,
53,135,11.3,0.02832,-7.08E-04,0.04292,0.03608,0.03305,0.03975,0.03554,0.03337,0.03763,,,,,,,,,,
53,135,11.4,0.02844,1.06E-04,0.04262,0.03593,0.03292,0.03956,0.03539,0.03323,0.03749,,,,,,,,,,
53,135,11.5,0.02858,9.87E-04,0.04247,0.03578,0.03279,0.03937,0.03524,0.03308,0.03734,,,,,,,,,,
53,135,11.6,0.02873,0.00212,0.04226,0.03563,0.03266,0.03918,0.03509,0.03294,0.0372,,,,,,,,,,
53,135,11.7,0.02888,0.00345,0.04196,0.03548,0.03253,0.03899,0.03495,0.03279,0.03705,,,,,,,,,,
53,135,11.8,0.02905,0.00472,0.04169,0.03533,0.0324,0.0388,0.0348,0.03264,0.03691,,,,,,,,,,
53,135,11.9,0.02923,0.00579,0.04142,0.03517,0.03227,0.0386,0.03465,0.03249,0.03676,,,,,,,,,,
53,135,12,0.02942,0.00686,0.04116,0.03502,0.03213,0.0384,0.03449,0.03235,0.03661,,,,,,,,,,
53,135,12.1,0.02962,0.00772,0.04088,0.03486,0.03199,0.03821,0.03434,0.0322,0.03646,,,,,,,,,,
53,135,12.2,0.02982,0.00854,0.0406,0.03471,0.03186,0.03801,0.03419,0.03204,0.03631,,,,,,,,,,
53,135,12.3,0.03003,0.00941,0.04033,0.03455,0.03171,0.0378,0.03404,0.03189,0.03616,,,,,,,,,,
53,135,12.4,0.03023,0.0103,0.04004,0.0344,0.03158,0.03758,0.03388,0.03174,0.03601,,,,,,,,,,
53,135,12.5,0.03044,0.01152,0.03973,0.03424,0.03143,0.03738,0.03373,0.03158,0.03585,,,,,,,,,,
53,135,12.6,0.03065,0.01298,0.03942,0.03408,0.03129,0.03717,0.03357,0.03143,0.0357,,,,,,,,,,
53,135,12.7,0.03086,0.01447,0.03919,0.03393,0.03115,0.03695,0.03342,0.03128,0.03555,,,,,,,,,,
53,135,12.8,0.03107,0.01577,0.03891,0.03377,0.03101,0.03674,0.03326,0.03112,0.0354,,,,,,,,,,
53,135,12.9,0.03127,0.01698,0.03868,0.03361,0.03087,0.03652,0.03311,0.03096,0.03524,,,,,,,,,,
53,135,13,0.03146,0.0182,0.03851,0.03345,0.03072,0.0363,0.03295,0.03081,0.03509,,,,,,,,,,
53,135,13.1,0.03164,0.01936,0.03836,0.03329,0.03058,0.0361,0.0328,0.03065,0.03494,,,,,,,,,,
53,135,13.2,0.03182,0.02043,0.03826,0.03313,0.03043,0.03589,0.03264,0.03049,0.03479,,,,,,,,,,
53,135,13.3,0.03198,0.02133,0.03818,0.03297,0.03029,0.03568,0.03248,0.03033,0.03463,,,,,,,,,,
53,135,13.4,0.03213,0.02229,0.0381,0.03281,0.03014,0.03549,0.03232,0.03017,0.03448,,,,,,,,,,
53,135,13.5,0.03227,0.02312,0.03803,0.03265,0.03,0.03529,0.03217,0.03002,0.03432,,,,,,,,,,
53,135,1.36E+01,0.0324,0.02394,0.03797,0.03248,0.02985,0.03511,0.03201,0.02986,0.03417,,,,,,,,,,
53,135,13.7,0.03251,0.02471,0.03789,0.03232,0.0297,0.03491,0.03185,0.02969,0.03402,,,,,,,,,,
53,135,13.8,0.03261,0.0253,0.03785,0.03216,0.02955,0.03472,0.03169,0.02954,0.03387,,,,,,,,,,
53,135,13.9,0.03269,0.02576,0.03783,0.032,0.0294,0.03453,0.03153,0.02938,0.03371,,,,,,,,,,
53,135,14,0.03276,0.02601,0.03781,0.03183,0.02925,0.03433,0.03137,0.02922,0.03356,,,,,,,,,,
53,135,14.1,0.03282,0.0261,0.03782,0.03167,0.0291,0.03416,0.03122,0.02905,0.03341,,,,,,,,,,
53,135,14.2,0.03287,0.02606,0.03785,0.0315,0.02895,0.03397,0.03106,0.02889,0.03326,,,,,,,,,,
