Charge Number,E,Uninformed,Informed,JENDL-5
63,6,0.00546,0.00132,
64,6,0.00527,0.00137,
65,6,0.00567,0.00158,
66,6,0.00616,0.00162,
67,6,0.00548,9.79E-04,
68,6,0.00311,1.10E-04,
69,6,9.28E-04,2.60E-05,
70,6,1.56E-05,1.87E-05,
71,6,-2.10E-05,4.11E-06,
23,7,1.25E-05,3.16E-05,
24,7,1.36E-04,9.42E-05,
25,7,6.27E-04,1.50E-04,
26,7,0.0014,5.07E-04,
27,7,0.0021,0.00126,
28,7,0.00259,0.00132,
29,7,0.00305,5.30E-04,
30,7,0.00427,-3.57E-04,
31,7,0.00724,0.00148,
32,7,0.01337,0.00811,
33,7,0.0245,0.02033,
34,7,0.04271,0.03885,
35,7,0.06892,0.064,
36,7,0.09701,0.12782,
37,7,0.13247,0.1293,
38,7,0.16003,0.14794,
39,7,0.12089,0.13431,
40,7,0.15413,0.14099,
41,7,0.08279,0.06639,
42,7,0.05658,0.05337,
43,7,0.03694,0.01855,
44,7,0.02798,0.01351,
45,7,0.02431,0.01174,
46,7,0.02326,0.01363,
47,7,0.0236,0.01766,
48,7,0.0252,0.02323,
49,7,0.03106,0.03375,
50,7,0.05601,0.05477,
51,7,0.08693,0.08865,
52,7,0.13062,0.13911,
53,7,0.13451,0.16806,
54,7,0.14957,0.16491,
55,7,0.13478,0.12749,
56,7,0.11991,0.1164,
57,7,0.06443,0.06844,
58,7,0.03806,0.0361,
59,7,0.02261,0.01676,
60,7,0.01353,0.00709,
61,7,0.00854,0.00304,
62,7,0.00601,0.00167,
63,7,0.00498,0.00137,
64,7,0.00475,0.00138,
65,7,0.0051,0.00154,
66,7,0.00557,0.00155,
67,7,0.00501,9.20E-04,
68,7,0.00289,1.11E-04,
69,7,8.73E-04,2.61E-05,
70,7,1.04E-05,1.83E-05,
71,7,-2.13E-05,3.99E-06,
23,8,1.24E-05,3.70E-05,
24,8,1.26E-04,1.00E-04,
25,8,5.22E-04,1.44E-04,
26,8,0.00105,4.88E-04,
27,8,0.00152,0.00121,
28,8,0.0019,0.00123,
29,8,0.00238,4.24E-04,
30,8,0.00368,-3.80E-04,
31,8,0.00675,0.0016,
32,8,0.01297,0.0084,
33,8,0.02419,0.0207,
34,8,0.04246,0.03893,
35,8,0.06868,0.06357,
36,8,0.0963,0.12399,
37,8,0.13185,0.12854,
38,8,0.15646,0.14294,
39,8,0.12098,0.13394,
40,8,0.14988,0.13666,
41,8,0.08312,0.06762,
42,8,0.05771,0.05572,
43,8,0.03842,0.02108,
44,8,0.02862,0.01564,
45,8,0.02446,0.0135,
46,8,0.02345,0.01526,
47,8,0.0242,0.01942,
48,8,0.02667,0.02531,
49,8,0.03318,0.03619,
50,8,0.0564,0.0571,
51,8,0.08714,0.08926,
52,8,0.12736,0.13582,
53,8,0.13278,0.16562,
54,8,0.1479,0.15978,
55,8,0.13411,0.12678,
56,8,0.11587,0.11354,
57,8,0.06334,0.06785,
58,8,0.03741,0.03613,
59,8,0.02202,0.01692,
60,8,0.01295,0.00726,
61,8,0.00796,0.00317,
62,8,0.00541,0.00173,
63,8,0.00435,0.00137,
64,8,0.00409,0.00133,
65,8,0.0044,0.00145,
66,8,0.00485,0.00144,
67,8,0.00443,8.34E-04,
68,8,0.0026,1.11E-04,
69,8,7.84E-04,2.61E-05,
70,8,-2.04E-06,1.78E-05,
71,8,-2.22E-05,3.87E-06,
23,9,1.19E-05,4.33E-05,
24,9,1.14E-04,1.06E-04,
25,9,4.16E-04,1.35E-04,
26,9,7.29E-04,4.60E-04,
27,9,9.90E-04,0.00114,
28,9,0.00126,0.0011,
29,9,0.00175,2.79E-04,
30,9,0.00312,-4.39E-04,
31,9,0.00626,0.00168,
32,9,0.01256,0.00865,
33,9,0.02385,0.02103,
34,9,0.04219,0.03897,
35,9,0.06842,0.06297,
36,9,0.0965,0.12008,
37,9,0.13117,0.12771,
38,9,0.15351,0.13844,
39,9,0.12117,0.13328,
40,9,0.14561,0.13283,
41,9,0.0835,0.06928,
42,9,0.05886,0.05823,
43,9,0.03957,0.02376,
44,9,0.02895,0.01783,
45,9,0.02442,0.01528,
46,9,0.02345,0.01685,
47,9,0.02455,0.02109,
48,9,0.02782,0.02722,
49,9,0.03526,0.03831,
50,9,0.0567,0.05909,
51,9,0.08712,0.08985,
52,9,0.12471,0.13252,
53,9,0.13096,0.16171,
54,9,0.14625,0.15454,
55,9,0.13361,0.12581,
56,9,0.11218,0.11098,
57,9,0.06222,0.06725,
58,9,0.03667,0.03608,
59,9,0.02133,0.01701,
60,9,0.01229,0.00737,
61,9,0.0073,0.00324,
62,9,0.00473,0.00174,
63,9,0.00365,0.00133,
64,9,0.00335,0.00125,
65,9,0.00363,0.00133,
66,9,0.00407,0.00129,
67,9,0.00379,7.24E-04,
68,9,0.00225,1.11E-04,
69,9,6.70E-04,2.62E-05,
70,9,-2.08E-05,1.73E-05,
71,9,-2.36E-05,3.73E-06,
23,10,1.12E-05,5.09E-05,
24,10,1.00E-04,1.13E-04,
25,10,3.19E-04,1.24E-04,
26,10,4.46E-04,4.22E-04,
27,10,5.27E-04,0.00104,
28,10,6.91E-04,9.42E-04,
29,10,0.00119,1.03E-04,
30,10,0.00261,-5.29E-04,
31,10,0.00582,0.00173,
32,10,0.01217,0.00888,
33,10,0.02353,0.02133,
34,10,0.04193,0.03896,
35,10,0.06816,0.06222,
36,10,0.09707,0.1161,
37,10,0.13045,0.12682,
38,10,0.15108,0.1345,
39,10,0.12156,0.13243,
40,10,0.14154,0.1296,
41,10,0.08396,0.07135,
42,10,0.05998,0.06078,
43,10,0.04041,0.0266,
44,10,0.02905,0.02009,
45,10,0.02428,0.01707,
46,10,0.02334,0.01841,
47,10,0.0247,0.02266,
48,10,0.02868,0.02899,
